,MOCS ID#,Fiscal Year,Source,Council Member,Legal Name,Tax ID,Status,Amount,Agency,Program Name,Grantee Street Address 1,Grantee Street Address 2,City,State,Postal Code,CM Purpose of Funds,Fiscal Conduit,Fiscal Conduit EIN
4789,FY26 06850,2026,Cultural Immigrant Initiative,Brewer,"Friends of Israel Scouts, Inc.",133843506,Cleared,"$10,000 ",DYCD,Israeli-American Youth Movement - Council District 6,575 8th Avenue,,New York,NY,10018,The funds will be used to support cultural organizations to provide programming focused on the cultural history or traditions of an immigrant community in New York City. This initiative will help increase access to unique cultural offerings that focus on immigrant heritages.,,
4790,FY26 02095,2026,Local,Dinowitz,"Friends of Israel Scouts, Inc.",133843506,Cleared,"$5,000 ",DYCD,NYC Israeli Scouts - Council District 11,575 8th Avenue,,New York,NY,10018,"Funding to support scout programming and community events including weekly programs, seminars, events and community gatherings in Council District 11.",,
4791,FY26 02096,2026,Local,Schulman,"Friends of Israel Scouts, Inc.",133843506,Cleared,"$1,500 ",DYCD,"Programming, Events & Seminars",575 8th Avenue,,New York,NY,10018,Funding will go towards supporting the Scouts' weekly programs for youth and seminars for adults.,,
4792,FY26 02093,2026,Youth,Powers,"Friends of Israel Scouts, Inc.",133843506,Cleared,"$5,000 ",DYCD,,575 8th Avenue,,New York,NY,10018,"Funding will support the NYC Israeli Scouts weekly programs, seminars, events and community gatherings in Council District 4.",,
4793,FY26 02094,2026,Youth,Menin,"Friends of Israel Scouts, Inc.",133843506,Cleared,"$5,000 ",DYCD,Council District 5,575 8th Avenue,,New York,NY,10018,Funds will be used to support the NYC Israeli Scouts in Council District 5. ,,
4794,FY26 02097,2026,Youth,Abreu,"Friends of Israel Scouts, Inc.",133843506,Cleared,"$10,000 ",DYCD,Youth Programming - Council District 7,575 8th Avenue,,New York,NY,10018,Funding to support community events and youth leadership development. ,,
11601,FY26 05269,2026,Youth,Gennaro,Young Israel of Jamaica Estates,112518593,Cleared,"$15,000 ",DYCD,,83-10 188th St.,,Jamaica Estates,NY,11423,"Funding to support children, teens and collegiate with social, recreational and educational programs. Lectures classes will also be provided to the community.",,
11602,FY26 05270,2026,Youth,Carr,Young Israel of Staten Island,132618386,Cleared,"$15,000 ",DYCD,,835 Forest Hill Rd.,,Staten Island,NY,10314,Funds will be used to support recreational and sports activities.,,
11603,FY26 05271,2026,Aging,Felder,"Young Israel Programs, Inc.",30381957,Cleared,"$6,000 ",DFTA,Senior Services of Midwood - Council District 44,Young Israel Programs,50 Eisenhower Drive ,Paramus,NJ,07652,Funds will be used to support district based senior services in Council District 44.,,
11604,FY26 05272,2026,Aging,Schulman,"Young Israel Programs, Inc.",30381957,Cleared,"$50,000 ",DFTA,Young Israel of Forest Hills Senior League,Young Israel Programs,50 Eisenhower Drive ,Paramus,NJ,07652,"Funding will be used to support the daily meal program, case management program, office and client supplies as well as general operational and program related expenses.",,
11605,FY26 05273,2026,Aging,Gennaro,"Young Israel Programs, Inc.",30381957,Cleared,"$10,000 ",DFTA,Young Israel of Queens Valley,Young Israel Programs,50 Eisenhower Drive ,Paramus,NJ,07652,"Funds to support programming including recreation, health promotion, nutrition education and meals. Funds will be used to assist occupancy and utilities expenses, and programming at the Young Israel of Queens Valley.",,
11606,FY26 09286,2026,Support Our Older Adults,Felder,"Young Israel Programs, Inc.",30381957,Cleared,"$5,000 ",DFTA,Midwood Senior Center,Young Israel Programs,50 Eisenhower Drive ,Paramus,NJ,07652,This funding will support district-based older adult services.,,
11607,FY26 09285,2026,Support Our Older Adults,Louis,"Young Israel Programs, Inc.",30381957,Cleared,"$10,000 ",DFTA,Senior Programming - Council District 45,Young Israel Programs,50 Eisenhower Drive ,Paramus,NJ,07652,This funding will support district-based older adult services.,,
11608,FY26 09287,2026,Support Our Older Adults,Schulman,"Young Israel Programs, Inc.",30381957,Cleared,"$30,500 ",DFTA,Young Israel of Forest Hills Senior League,Young Israel Programs,50 Eisenhower Drive ,Paramus,NJ,07652,This funding will support district-based older adult services.,,
11609,FY26 09288,2026,Support Our Older Adults,Brooks-Powers,"Young Israel Programs, Inc.",30381957,Cleared,"$10,000 ",DFTA,Young Israel of Wavecrest And Bayswater,Young Israel Programs,50 Eisenhower Drive ,Paramus,NJ,07652,This funding will support district-based older adult services.,,
